genus,species,family,demersal,benthopelagic,bathydemersal,pelagic,pelagic-neritic,pelagic-oceanic,reef-associated,epipelagic,mesopelagic,bathypelagic,abyssopelagic,marine,freshwater,brackish,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non-migratory,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,min_ph,max_ph,min_dh,max_dh,url
microglanis,variegatus,pseudopimelodidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Microglanis_variegatus.html
sebastes,melanosema,sebastidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,137.0,183.0,,,,,,,https://www.fishbase.ca/summary/Sebastes_melanosema.html
neoniphon,opercularis,holocentridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,30.0,,,,,,,https://www.fishbase.de/summary/Neoniphon_opercularis.html
taeniamia,biguttata,apogonidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,33.0,0.0,15.0,,,,,https://www.fishbase.net.br/summary/Taeniamia_biguttata.html
opisthopterus,tardoore,Pristigasteridae,,,,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,https://www.fishbase.se/summary/Opisthopterus_tardoore.html
embiotoca,lateralis,embiotocidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,?,21.0,,,,,,,https://www.fishbase.ca/summary/Embiotoca_lateralis.html
sillago,intermedius,sillaginidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,0.0,10.0,,,,,,,https://www.fishbase.ca/summary/Sillago_intermedius.html
leptoscarus,vaigiensis,scaridae,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,15.0,,,,,,,https://www.fishbase.se/summary/Leptoscarus_vaigiensis.html
cryptocentrus,fasciatus,Gobiidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,5.0,20.0,5.0,15.0,,,,,https://www.fishbase.se/summary/Cryptocentrus_fasciatus.html
tylosurus,acus,belonidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,?,,,,,,,https://www.fishbase.de/summary/Tylosurus_acus.html
jaydia,truncata,apogonidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,132.0,,,,,,,https://www.fishbase.ca/summary/Jaydia_truncata.html
scorpaenopsis,eschmeyeri,scorpaenidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,24.0,,,,,,,https://www.fishbase.net.br/summary/Scorpaenopsis_eschmeyeri.html
rhinogobius,bucculentus,gobiidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Rhinogobius_bucculentus.html
labrus,bergylta,labridae,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,50.0,2.0,30.0,,,,,https://www.fishbase.ca/summary/Labrus_bergylta.html
oncorhynchus,keta,Salmonidae,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,0.0,250.0,?,61.0,,,,,https://www.fishbase.se/summary/Oncorhynchus_keta.html
peristedion,brevirostre,peristediidae,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,55.0,550.0,200.0,?,,,,,https://www.fishbase.ca/summary/Peristedion_brevirostre.html
cetoscarus,bicolor,Scaridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,30.0,,,,,,,https://www.fishbase.de/summary/Cetoscarus_bicolor.html
notropis,heterolepis,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Notropis_heterolepis.html
chrysiptera,unimaculata,Pomacentridae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,0.0,3.0,,,,,,,https://www.fishbase.net.br/summary/Chrysiptera_unimaculata.html
priolepis,fallacincta,gobiidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,24.0,37.0,,,,,,,https://www.fishbase.ca/summary/Priolepis_fallacincta.html
etelis,radiosus,lutjanidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,90.0,360.0,,,,,,,https://www.fishbase.ca/summary/Etelis_radiosus.html
monotrete,leiurus,tetraodontidae,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Monotrete_leiurus.html
hyphessobrycon,ecuadoriensis,characidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Hyphessobrycon_ecuadoriensis.html
sectator,ocyurus,Kyphosidae,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,20.0,,,,,,,https://www.fishbase.de/summary/Sectator_ocyurus.html
drepane,punctata,drepaneidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,10.0,49.0,,,,,,,https://www.fishbase.ca/summary/Drepane_punctata.html
